Feature_Date,Missing_Count,Missing_Percentage
2014/09/06,31,2.0666666666666664
2014/09/07,32,2.1333333333333333
2014/09/08,27,1.7999999999999998
2014/09/09,32,2.1333333333333333
2014/09/10,24,1.6
2014/09/11,30,2.0
2014/09/12,35,2.3333333333333335
2014/09/13,27,1.7999999999999998
2014/09/14,25,1.6666666666666667
2014/09/15,19,1.2666666666666666
2014/09/16,22,1.4666666666666666
2014/09/17,27,1.7999999999999998
2014/09/18,30,2.0
2014/09/19,28,1.866666666666667
2014/09/20,29,1.9333333333333333
2014/09/21,22,1.4666666666666666
2014/09/22,22,1.4666666666666666
2014/09/23,24,1.6
2014/09/24,35,2.3333333333333335
2014/09/25,21,1.4000000000000001
2014/09/26,34,2.2666666666666666
2014/09/27,23,1.5333333333333332
2014/09/28,30,2.0
2014/09/29,32,2.1333333333333333
2014/09/30,32,2.1333333333333333
2014/10/01,36,2.4
2014/10/02,25,1.6666666666666667
2014/10/03,37,2.466666666666667
2014/10/04,32,2.1333333333333333
2014/10/05,35,2.3333333333333335
2014/10/06,29,1.9333333333333333
2014/10/07,21,1.4000000000000001
2014/10/08,26,1.7333333333333332
2014/10/09,33,2.1999999999999997
2014/10/10,35,2.3333333333333335
2014/10/11,23,1.5333333333333332
2014/10/12,29,1.9333333333333333
2014/10/13,39,2.6
2014/10/14,29,1.9333333333333333
2014/10/15,24,1.6
2014/10/16,21,1.4000000000000001
2014/10/17,29,1.9333333333333333
2014/10/18,28,1.866666666666667
2014/10/19,40,2.666666666666667
2014/10/20,30,2.0
2014/10/21,14,0.9333333333333335
2014/10/22,36,2.4
2014/10/23,36,2.4
2014/10/24,28,1.866666666666667
2014/10/25,26,1.7333333333333332
2014/10/26,27,1.7999999999999998
2014/10/27,25,1.6666666666666667
2014/10/28,38,2.533333333333333
2014/10/29,25,1.6666666666666667
2014/10/30,25,1.6666666666666667
2014/10/31,33,2.1999999999999997
2014/11/01,32,2.1333333333333333
2014/11/02,27,1.7999999999999998
2014/11/03,35,2.3333333333333335
2014/11/04,39,2.6
2014/11/05,29,1.9333333333333333
2014/11/06,35,2.3333333333333335
2014/11/07,21,1.4000000000000001
2014/11/08,31,2.0666666666666664
2014/11/09,40,2.666666666666667
2014/11/10,32,2.1333333333333333
2014/11/11,31,2.0666666666666664
2014/11/12,35,2.3333333333333335
2014/11/13,34,2.2666666666666666
2014/11/14,16,1.0666666666666667
2014/11/15,31,2.0666666666666664
2014/11/16,33,2.1999999999999997
2014/11/17,31,2.0666666666666664
2014/11/18,23,1.5333333333333332
2014/11/19,28,1.866666666666667
2014/11/20,34,2.2666666666666666
2014/11/21,24,1.6
2014/11/22,35,2.3333333333333335
2014/11/23,33,2.1999999999999997
2014/11/24,22,1.4666666666666666
2014/11/25,27,1.7999999999999998
2014/11/26,31,2.0666666666666664
2014/11/27,34,2.2666666666666666
2014/11/28,41,2.7333333333333334
2014/11/29,22,1.4666666666666666
2014/11/30,31,2.0666666666666664
2014/12/01,23,1.5333333333333332
2014/12/02,32,2.1333333333333333
2014/12/03,25,1.6666666666666667
2014/12/04,39,2.6
2014/12/05,39,2.6
2014/12/06,30,2.0
2014/12/07,32,2.1333333333333333
2014/12/08,28,1.866666666666667
2014/12/09,38,2.533333333333333
2014/12/10,23,1.5333333333333332
2014/12/11,31,2.0666666666666664
2014/12/12,34,2.2666666666666666
2014/12/13,28,1.866666666666667
2014/12/14,32,2.1333333333333333
2014/12/15,25,1.6666666666666667
2014/12/16,34,2.2666666666666666
2014/12/17,29,1.9333333333333333
2014/12/18,38,2.533333333333333
2014/12/19,23,1.5333333333333332
2014/12/20,30,2.0
2014/12/21,35,2.3333333333333335
2014/12/22,29,1.9333333333333333
2014/12/23,38,2.533333333333333
2014/12/24,26,1.7333333333333332
2014/12/25,23,1.5333333333333332
2014/12/26,38,2.533333333333333
2014/12/27,36,2.4
2014/12/28,29,1.9333333333333333
2014/12/29,26,1.7333333333333332
2014/12/30,36,2.4
2014/12/31,35,2.3333333333333335
2015/01/01,25,1.6666666666666667
2015/01/02,27,1.7999999999999998
2015/01/03,38,2.533333333333333
2015/01/04,21,1.4000000000000001
2015/01/05,32,2.1333333333333333
2015/01/06,34,2.2666666666666666
2015/01/07,28,1.866666666666667
2015/01/08,46,3.0666666666666664
2015/01/09,33,2.1999999999999997
2015/01/10,25,1.6666666666666667
2015/01/11,31,2.0666666666666664
2015/01/12,33,2.1999999999999997
2015/01/13,33,2.1999999999999997
2015/01/14,36,2.4
2015/01/15,34,2.2666666666666666
2015/01/16,29,1.9333333333333333
2015/01/17,34,2.2666666666666666
2015/01/18,28,1.866666666666667
2015/01/19,16,1.0666666666666667
2015/01/20,28,1.866666666666667
2015/01/21,22,1.4666666666666666
2015/01/22,37,2.466666666666667
2015/01/23,41,2.7333333333333334
2015/01/24,25,1.6666666666666667
2015/01/25,37,2.466666666666667
2015/01/26,24,1.6
2015/01/27,33,2.1999999999999997
2015/01/28,29,1.9333333333333333
2015/01/29,30,2.0
2015/01/30,22,1.4666666666666666
2015/01/31,36,2.4
2015/02/01,31,2.0666666666666664
2015/02/02,26,1.7333333333333332
2015/02/03,33,2.1999999999999997
2015/02/04,17,1.1333333333333333
2015/02/05,33,2.1999999999999997
2015/02/06,30,2.0
2015/02/07,39,2.6
2015/02/08,34,2.2666666666666666
2015/02/09,29,1.9333333333333333
2015/02/10,30,2.0
2015/02/11,30,2.0
2015/02/12,28,1.866666666666667
2015/02/13,29,1.9333333333333333
2015/02/14,31,2.0666666666666664
2015/02/15,31,2.0666666666666664
2015/02/16,22,1.4666666666666666
2015/02/17,21,1.4000000000000001
2015/02/18,28,1.866666666666667
2015/02/19,23,1.5333333333333332
2015/02/20,28,1.866666666666667
2015/02/21,38,2.533333333333333
2015/02/22,27,1.7999999999999998
2015/02/23,39,2.6
2015/02/24,20,1.3333333333333335
2015/02/25,36,2.4
2015/02/26,32,2.1333333333333333
2015/02/27,29,1.9333333333333333
2015/02/28,27,1.7999999999999998
2015/03/01,28,1.866666666666667
2015/03/02,35,2.3333333333333335
2015/03/03,29,1.9333333333333333
2015/03/04,22,1.4666666666666666
2015/03/05,28,1.866666666666667
2015/03/06,30,2.0
2015/03/07,29,1.9333333333333333
2015/03/08,39,2.6
2015/03/09,36,2.4
2015/03/10,22,1.4666666666666666
2015/03/11,29,1.9333333333333333
2015/03/12,28,1.866666666666667
2015/03/13,36,2.4
2015/03/14,38,2.533333333333333
2015/03/15,27,1.7999999999999998
2015/03/16,31,2.0666666666666664
2015/03/17,30,2.0
2015/03/18,32,2.1333333333333333
2015/03/19,44,2.933333333333333
2015/03/20,33,2.1999999999999997
2015/03/21,33,2.1999999999999997
2015/03/22,34,2.2666666666666666
2015/03/23,24,1.6
2015/03/24,30,2.0
2015/03/25,35,2.3333333333333335
2015/03/26,27,1.7999999999999998
2015/03/27,21,1.4000000000000001
2015/03/28,28,1.866666666666667
2015/03/29,32,2.1333333333333333
2015/03/30,30,2.0
2015/03/31,36,2.4
2015/04/01,29,1.9333333333333333
2015/04/02,25,1.6666666666666667
2015/04/03,25,1.6666666666666667
2015/04/04,22,1.4666666666666666
2015/04/05,25,1.6666666666666667
2015/04/06,22,1.4666666666666666
2015/04/07,28,1.866666666666667
2015/04/08,30,2.0
2015/04/09,40,2.666666666666667
2015/04/10,30,2.0
2015/04/11,30,2.0
2015/04/12,31,2.0666666666666664
2015/04/13,34,2.2666666666666666
2015/04/14,26,1.7333333333333332
2015/04/15,39,2.6
2015/04/16,34,2.2666666666666666
2015/04/17,23,1.5333333333333332
2015/04/18,25,1.6666666666666667
2015/04/19,26,1.7333333333333332
2015/04/20,26,1.7333333333333332
2015/04/21,28,1.866666666666667
2015/04/22,45,3.0
2015/04/23,29,1.9333333333333333
2015/04/24,24,1.6
2015/04/25,19,1.2666666666666666
2015/04/26,28,1.866666666666667
2015/04/27,21,1.4000000000000001
2015/04/28,21,1.4000000000000001
2015/04/29,38,2.533333333333333
2015/04/30,39,2.6
2015/05/01,32,2.1333333333333333
2015/05/02,27,1.7999999999999998
2015/05/03,35,2.3333333333333335
2015/05/04,31,2.0666666666666664
2015/05/05,34,2.2666666666666666
2015/05/06,32,2.1333333333333333
2015/05/07,30,2.0
2015/05/08,34,2.2666666666666666
2015/05/09,23,1.5333333333333332
2015/05/10,34,2.2666666666666666
2015/05/11,23,1.5333333333333332
2015/05/12,31,2.0666666666666664
2015/05/13,27,1.7999999999999998
2015/05/14,24,1.6
2015/05/15,31,2.0666666666666664
2015/05/16,39,2.6
2015/05/17,30,2.0
2015/05/18,30,2.0
2015/05/19,31,2.0666666666666664
2015/05/20,36,2.4
2015/05/21,35,2.3333333333333335
2015/05/22,26,1.7333333333333332
2015/05/23,26,1.7333333333333332
2015/05/24,35,2.3333333333333335
2015/05/25,28,1.866666666666667
2015/05/26,35,2.3333333333333335
2015/05/27,28,1.866666666666667
2015/05/28,28,1.866666666666667
2015/05/29,31,2.0666666666666664
2015/05/30,31,2.0666666666666664
2015/05/31,37,2.466666666666667
2015/06/01,20,1.3333333333333335
2015/06/02,27,1.7999999999999998
2015/06/03,31,2.0666666666666664
2015/06/04,24,1.6
2015/06/05,31,2.0666666666666664
2015/06/06,31,2.0666666666666664
2015/06/07,26,1.7333333333333332
2015/06/08,29,1.9333333333333333
2015/06/09,20,1.3333333333333335
2015/06/10,41,2.7333333333333334
2015/06/11,18,1.2
2015/06/12,21,1.4000000000000001
2015/06/13,25,1.6666666666666667
2015/06/14,28,1.866666666666667
2015/06/15,24,1.6
2015/06/16,35,2.3333333333333335
2015/06/17,30,2.0
2015/06/18,26,1.7333333333333332
2015/06/19,30,2.0
2015/06/20,22,1.4666666666666666
2015/06/21,19,1.2666666666666666
2015/06/22,32,2.1333333333333333
2015/06/23,32,2.1333333333333333
2015/06/24,24,1.6
2015/06/25,28,1.866666666666667
2015/06/26,25,1.6666666666666667
2015/06/27,29,1.9333333333333333
2015/06/28,34,2.2666666666666666
2015/06/29,31,2.0666666666666664
2015/06/30,18,1.2
2015/07/01,28,1.866666666666667
2015/07/02,26,1.7333333333333332
2015/07/03,25,1.6666666666666667
2015/07/04,37,2.466666666666667
2015/07/05,30,2.0
2015/07/06,34,2.2666666666666666
2015/07/07,21,1.4000000000000001
2015/07/08,33,2.1999999999999997
2015/07/09,30,2.0
2015/07/10,31,2.0666666666666664
2015/07/11,30,2.0
2015/07/12,29,1.9333333333333333
2015/07/13,27,1.7999999999999998
2015/07/14,37,2.466666666666667
2015/07/15,41,2.7333333333333334
2015/07/16,34,2.2666666666666666
2015/07/17,35,2.3333333333333335
2015/07/18,30,2.0
2015/07/19,33,2.1999999999999997
2015/07/20,28,1.866666666666667
2015/07/21,27,1.7999999999999998
2015/07/22,27,1.7999999999999998
2015/07/23,29,1.9333333333333333
2015/07/24,32,2.1333333333333333
2015/07/25,29,1.9333333333333333
2015/07/26,39,2.6
2015/07/27,31,2.0666666666666664
2015/07/28,31,2.0666666666666664
2015/07/29,39,2.6
2015/07/30,38,2.533333333333333
2015/07/31,26,1.7333333333333332
2015/08/01,44,2.933333333333333
2015/08/02,29,1.9333333333333333
2015/08/03,27,1.7999999999999998
2015/08/04,37,2.466666666666667
2015/08/05,36,2.4
2015/08/06,33,2.1999999999999997
2015/08/07,27,1.7999999999999998
2015/08/08,30,2.0
2015/08/09,24,1.6
2015/08/10,31,2.0666666666666664
2015/08/11,34,2.2666666666666666
2015/08/12,29,1.9333333333333333
2015/08/13,19,1.2666666666666666
2015/08/14,26,1.7333333333333332
2015/08/15,36,2.4
2015/08/16,24,1.6
2015/08/17,42,2.8000000000000003
2015/08/18,30,2.0
2015/08/19,30,2.0
2015/08/20,26,1.7333333333333332
2015/08/21,19,1.2666666666666666
2015/08/22,27,1.7999999999999998
2015/08/23,26,1.7333333333333332
2015/08/24,26,1.7333333333333332
2015/08/25,29,1.9333333333333333
2015/08/26,25,1.6666666666666667
2015/08/27,31,2.0666666666666664
2015/08/28,27,1.7999999999999998
2015/08/29,23,1.5333333333333332
2015/08/30,32,2.1333333333333333
2015/08/31,32,2.1333333333333333
2015/09/01,27,1.7999999999999998
2015/09/02,16,1.0666666666666667
2015/09/03,32,2.1333333333333333
2015/09/04,45,3.0
2015/09/05,39,2.6
2015/09/06,25,1.6666666666666667
2015/09/07,34,2.2666666666666666
2015/09/08,32,2.1333333333333333
2015/09/09,30,2.0
2015/09/10,24,1.6
2015/09/11,24,1.6
2015/09/12,31,2.0666666666666664
2015/09/13,37,2.466666666666667
2015/09/14,26,1.7333333333333332
2015/09/15,27,1.7999999999999998
2015/09/16,34,2.2666666666666666
2015/09/17,29,1.9333333333333333
2015/09/18,36,2.4
2015/09/19,29,1.9333333333333333
2015/09/20,29,1.9333333333333333
2015/09/21,31,2.0666666666666664
2015/09/22,37,2.466666666666667
2015/09/23,34,2.2666666666666666
2015/09/24,21,1.4000000000000001
2015/09/25,29,1.9333333333333333
2015/09/26,39,2.6
2015/09/27,32,2.1333333333333333
2015/09/28,28,1.866666666666667
2015/09/29,24,1.6
2015/09/30,34,2.2666666666666666
2015/10/01,46,3.0666666666666664
2015/10/02,24,1.6
2015/10/03,29,1.9333333333333333
2015/10/04,26,1.7333333333333332
2015/10/05,31,2.0666666666666664
2015/10/06,31,2.0666666666666664
2015/10/07,33,2.1999999999999997
2015/10/08,25,1.6666666666666667
2015/10/09,21,1.4000000000000001
2015/10/10,31,2.0666666666666664
2015/10/11,36,2.4
2015/10/12,33,2.1999999999999997
2015/10/13,40,2.666666666666667
2015/10/14,28,1.866666666666667
2015/10/15,28,1.866666666666667
2015/10/16,20,1.3333333333333335
2015/10/17,31,2.0666666666666664
2015/10/18,38,2.533333333333333
2015/10/19,30,2.0
2015/10/20,28,1.866666666666667
2015/10/21,33,2.1999999999999997
2015/10/22,25,1.6666666666666667
2015/10/23,35,2.3333333333333335
2015/10/24,31,2.0666666666666664
2015/10/25,31,2.0666666666666664
2015/10/26,21,1.4000000000000001
2015/10/27,36,2.4
2015/10/28,31,2.0666666666666664
2015/10/29,34,2.2666666666666666
2015/10/30,24,1.6
2015/10/31,31,2.0666666666666664
2015/11/01,27,1.7999999999999998
2015/11/02,26,1.7333333333333332
2015/11/03,35,2.3333333333333335
2015/11/04,22,1.4666666666666666
2015/11/05,25,1.6666666666666667
2015/11/06,31,2.0666666666666664
2015/11/07,32,2.1333333333333333
2015/11/08,33,2.1999999999999997
2015/11/09,27,1.7999999999999998
2015/11/10,26,1.7333333333333332
2015/11/11,33,2.1999999999999997
2015/11/12,28,1.866666666666667
2015/11/13,32,2.1333333333333333
2015/11/14,37,2.466666666666667
2015/11/15,34,2.2666666666666666
2015/11/16,35,2.3333333333333335
2015/11/17,37,2.466666666666667
2015/11/18,29,1.9333333333333333
2015/11/19,27,1.7999999999999998
2015/11/20,26,1.7333333333333332
2015/11/21,22,1.4666666666666666
2015/11/22,28,1.866666666666667
2015/11/23,29,1.9333333333333333
2015/11/24,32,2.1333333333333333
2015/11/25,26,1.7333333333333332
2015/11/26,31,2.0666666666666664
2015/11/27,29,1.9333333333333333
2015/11/28,23,1.5333333333333332
2015/11/29,25,1.6666666666666667
2015/11/30,23,1.5333333333333332
2015/12/01,20,1.3333333333333335
2015/12/02,39,2.6
2015/12/03,31,2.0666666666666664
2015/12/04,20,1.3333333333333335
2015/12/05,28,1.866666666666667
2015/12/06,40,2.666666666666667
2015/12/07,29,1.9333333333333333
2015/12/08,28,1.866666666666667
2015/12/09,29,1.9333333333333333
2015/12/10,28,1.866666666666667
2015/12/11,30,2.0
2015/12/12,32,2.1333333333333333
2015/12/13,25,1.6666666666666667
2015/12/14,38,2.533333333333333
2015/12/15,34,2.2666666666666666
2015/12/16,30,2.0
2015/12/17,27,1.7999999999999998
2015/12/18,31,2.0666666666666664
2015/12/19,33,2.1999999999999997
2015/12/20,34,2.2666666666666666
2015/12/21,27,1.7999999999999998
2015/12/22,26,1.7333333333333332
2015/12/23,30,2.0
2015/12/24,23,1.5333333333333332
2015/12/25,30,2.0
2015/12/26,33,2.1999999999999997
2015/12/27,33,2.1999999999999997
2015/12/28,31,2.0666666666666664
2015/12/29,25,1.6666666666666667
2015/12/30,39,2.6
2015/12/31,34,2.2666666666666666
2016/01/01,30,2.0
2016/01/02,30,2.0
2016/01/03,29,1.9333333333333333
2016/01/04,27,1.7999999999999998
2016/01/05,23,1.5333333333333332
2016/01/06,30,2.0
2016/01/07,28,1.866666666666667
2016/01/08,24,1.6
2016/01/09,39,2.6
2016/01/10,30,2.0
2016/01/11,29,1.9333333333333333
2016/01/12,28,1.866666666666667
2016/01/13,27,1.7999999999999998
2016/01/14,28,1.866666666666667
2016/01/15,27,1.7999999999999998
2016/01/16,26,1.7333333333333332
2016/01/17,40,2.666666666666667
2016/01/18,26,1.7333333333333332
2016/01/19,33,2.1999999999999997
2016/01/20,22,1.4666666666666666
2016/01/21,34,2.2666666666666666
2016/01/22,17,1.1333333333333333
2016/01/23,25,1.6666666666666667
2016/01/24,30,2.0
2016/01/25,34,2.2666666666666666
2016/01/26,33,2.1999999999999997
2016/01/27,38,2.533333333333333
2016/01/28,36,2.4
2016/01/29,39,2.6
2016/01/30,38,2.533333333333333
2016/01/31,23,1.5333333333333332
2016/02/01,24,1.6
2016/02/02,28,1.866666666666667
2016/02/03,35,2.3333333333333335
2016/02/04,32,2.1333333333333333
2016/02/05,32,2.1333333333333333
2016/02/06,31,2.0666666666666664
2016/02/07,26,1.7333333333333332
2016/02/08,25,1.6666666666666667
2016/02/09,32,2.1333333333333333
2016/02/10,27,1.7999999999999998
2016/02/11,33,2.1999999999999997
2016/02/12,26,1.7333333333333332
2016/02/13,24,1.6
2016/02/14,35,2.3333333333333335
2016/02/15,34,2.2666666666666666
2016/02/16,39,2.6
2016/02/17,40,2.666666666666667
2016/02/18,24,1.6
2016/02/19,27,1.7999999999999998
2016/02/20,23,1.5333333333333332
2016/02/21,33,2.1999999999999997
2016/02/22,26,1.7333333333333332
2016/02/23,30,2.0
2016/02/24,32,2.1333333333333333
2016/02/25,39,2.6
2016/02/26,32,2.1333333333333333
2016/02/27,38,2.533333333333333
2016/02/28,18,1.2
2016/02/29,39,2.6
2016/03/01,24,1.6
2016/03/02,32,2.1333333333333333
2016/03/03,28,1.866666666666667
2016/03/04,26,1.7333333333333332
2016/03/05,24,1.6
2016/03/06,32,2.1333333333333333
2016/03/07,32,2.1333333333333333
2016/03/08,43,2.8666666666666667
2016/03/09,18,1.2
2016/03/10,36,2.4
2016/03/11,30,2.0
2016/03/12,32,2.1333333333333333
2016/03/13,26,1.7333333333333332
2016/03/14,27,1.7999999999999998
2016/03/15,34,2.2666666666666666
2016/03/16,18,1.2
2016/03/17,27,1.7999999999999998
2016/03/18,25,1.6666666666666667
2016/03/19,38,2.533333333333333
2016/03/20,30,2.0
2016/03/21,37,2.466666666666667
2016/03/22,24,1.6
2016/03/23,34,2.2666666666666666
2016/03/24,32,2.1333333333333333
2016/03/25,31,2.0666666666666664
2016/03/26,23,1.5333333333333332
2016/03/27,26,1.7333333333333332
2016/03/28,32,2.1333333333333333
2016/03/29,31,2.0666666666666664
2016/03/30,29,1.9333333333333333
2016/03/31,28,1.866666666666667
2016/04/01,37,2.466666666666667
2016/04/02,24,1.6
2016/04/03,26,1.7333333333333332
2016/04/04,29,1.9333333333333333
2016/04/05,29,1.9333333333333333
2016/04/06,24,1.6
2016/04/07,30,2.0
2016/04/08,27,1.7999999999999998
2016/04/09,24,1.6
